Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/09 3:23:38 PM GMT+5:30,12,Others,Once a month,Home and Kitchen;others,Sometimes,Few times a month,Filter,First page,1,Maybe,Rarely,High shipping costs,Rarely,Yes,Heavily,Yes,3,Sometimes,1,1,User-friendly website/app interface,Reducing packaging waste,150483
2023/06/06 6:51:13 PM GMT+5:30,41,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Filter,Multiple pages,1,Yes,Never,Found a better price elsewhere,Always,No,Heavily,Sometimes,2,Sometimes,2,1,User-friendly website/app interface,Scrolling option would be much better than going to next page,172670
2023/06/05 2:16:16 PM GMT+5:30,4,Prefer not to say,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,2,Yes,Sometimes,High shipping costs,Never,Yes,Moderately,Sometimes,5,Yes,1,2,Customer service ,.,330972
2023/06/11 10:44:01 PM GMT+5:30,5,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,others,First page,3,Yes,Often,others,Never,Yes,Never,Sometimes,4,Yes,4,4,Customer service ,better app interface and lower shipping charges,966111
2023/06/08 3:23:36 AM GMT+5:30,31,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Multiple times a day,others,Multiple pages,2,Maybe,Always,Found a better price elsewhere,Often,No,Heavily,No,1,Yes,2,4,Product recommendations,better app interface and lower shipping charges,143839
2023/06/09 4:32:56 PM GMT+5:30,36,Others,Multiple times a week,others,Sometimes,Few times a month,nan,Multiple pages,2,Yes,Rarely,others,Sometimes,Yes,Rarely,Sometimes,5,Sometimes,5,5,Product recommendations,I don't have any problem with Amazon,842094
2023/06/08 6:01:33 PM GMT+5:30,26,Prefer not to say,Multiple times a week,Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,others,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Rarely,Yes,Never,No,5,No,1,3,Product recommendations,Scrolling option would be much better than going to next page,568206
2023/06/12 3:33:53 PM GMT+5:30,7,Female,Once a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Rarely,nan,First page,5,No,Rarely,High shipping costs,Rarely,No,Never,Yes,2,Sometimes,4,5,User-friendly website/app interface,Irrelevant product suggestions,351479
2023/06/06 7:46:27 PM GMT+5:30,35,Female,Once a week,Groceries and Gourmet Food,Sometimes,Few times a month,Keyword,First page,4,No,Never,others,Never,No,Rarely,Sometimes,4,No,5,3,Wide product selection,Add more familiar brands to the list,248643
2023/06/08 5:19:41 PM GMT+5:30,48,Female,Multiple times a week,Beauty and Personal Care,Yes,Rarely,Filter,Multiple pages,1,No,Sometimes,others,Never,No,Occasionally,No,5,Yes,1,1,All the above,I don't have any problem with Amazon,582161
2023/06/09 9:33:35 AM GMT+5:30,7,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a month,categories,First page,5,No,Sometimes,High shipping costs,Always,No,Heavily,Yes,4,Yes,4,4,All the above,Irrelevant product suggestions,197466
2023/06/09 3:07:36 PM GMT+5:30,63,Others,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,Filter,First page,3,Yes,Never,others,Sometimes,Yes,Rarely,Yes,1,Yes,1,5,Quick delivery,UI,659200
2023/06/11 11:04:55 PM GMT+5:30,5,Male,Less than once a month,others,Yes,Multiple times a day,nan,Multiple pages,4,No,Always,High shipping costs,Never,Yes,Rarely,No,1,No,3,5,Competitive prices,Nothing,560612
2023/06/04 9:10:51 PM GMT+5:30,17,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Rarely,nan,First page,4,Maybe,Rarely,High shipping costs,Never,No,Occasionally,No,1,Sometimes,4,5,All the above,better app interface and lower shipping charges,597128
2023/06/08 5:54:49 PM GMT+5:30,52,Male,Multiple times a week,Beauty and Personal Care,No,Few times a week,Keyword,First page,3,No,Rarely,Changed my mind or no longer need the item,Often,No,Moderately,Yes,1,No,3,1,.,I have no problem with Amazon yet. But others tell me about the refund issues ,949469
2023/06/05 2:24:22 PM GMT+5:30,62,Male,Multiple times a week,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,others,First page,5,Yes,Never,others,Always,No,Moderately,Yes,3,No,3,5,.,No problems with Amazon,360675
2023/06/09 2:42:24 PM GMT+5:30,16,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Few times a week,categories,Multiple pages,3,Yes,Never,others,Sometimes,Yes,Heavily,Sometimes,1,Sometimes,2,5,User-friendly website/app interface,Irrelevant product suggestions,334364
2023/06/08 5:30:34 PM GMT+5:30,15,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,nan,First page,1,No,Sometimes,Changed my mind or no longer need the item,Rarely,No,Rarely,No,3,Sometimes,2,5,All the above,Add more familiar brands to the list,677928
2023/06/08 5:42:27 PM GMT+5:30,18,Male,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a month,Keyword,First page,1,Maybe,Never,others,Sometimes,Yes,Never,No,4,No,5,5,Competitive prices,Irrelevant product suggestions,259368
2023/06/07 9:21:50 PM GMT+5:30,55,Others,Less than once a month,Beauty and Personal Care,Sometimes,Few times a month,Filter,Multiple pages,3,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Occasionally,No,5,No,1,2,.,No problems with Amazon,758982
2023/06/04 10:24:47 PM GMT+5:30,24,Male,Once a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,others,Multiple pages,1,Maybe,Rarely,others,Never,Yes,Heavily,Yes,2,Sometimes,5,2,Customer service ,better app interface and lower shipping charges,446324
2023/06/09 3:06:37 PM GMT+5:30,34,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,nan,Multiple pages,4,Yes,Rarely,others,Rarely,Yes,Rarely,Sometimes,1,Sometimes,4,4,Customer service,Quality of product is very poor according to the big offers,528017
2023/06/07 12:13:39 PM GMT+5:30,21,Prefer not to say,Once a week,Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,categories,First page,5,Maybe,Rarely,High shipping costs,Often,No,Moderately,Sometimes,5,Sometimes,3,3,Customer service ,Nothing,255921
2023/06/11 10:53:44 PM GMT+5:30,4,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,others,First page,3,Yes,Always,High shipping costs,Often,No,Occasionally,Sometimes,3,No,5,4,Customer service ,Product quality and accuracy,640607
2023/06/06 7:11:46 PM GMT+5:30,49,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,2,No,Sometimes,High shipping costs,Always,No,Moderately,Sometimes,3,Sometimes,4,5,Product recommendations,No problems with Amazon,271386
2023/06/06 7:15:48 PM GMT+5:30,52,Male,Less than once a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Few times a week,Filter,Multiple pages,1,Maybe,Always,Found a better price elsewhere,Always,No,Rarely,Sometimes,1,Yes,4,1,.,.,877686
2023/06/06 7:18:01 PM GMT+5:30,44,Male,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Filter,First page,5,No,Rarely,Changed my mind or no longer need the item,Sometimes,Yes,Heavily,No,4,No,5,3,Product recommendations,Nothing,205397
2023/06/10 2:40:34 PM GMT+5:30,56,Others,Few times a month,Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,3,No,Often,Found a better price elsewhere,Sometimes,No,Never,Yes,2,Yes,2,1,Quick delivery,Shipping speed and reliability,368054
2023/06/12 9:40:22 AM GMT+5:30,43,Prefer not to say,Less than once a month,Clothing and Fashion;Home and Kitchen,No,Rarely,others,Multiple pages,3,Yes,Rarely,Found a better price elsewhere,Rarely,No,Heavily,Sometimes,2,Yes,2,3,Competitive prices,Product quality and accuracy,818054
2023/06/08 9:54:40 AM GMT+5:30,42,Others,Multiple times a week,Beauty and Personal Care;others,No,Rarely,others,First page,3,No,Rarely,Changed my mind or no longer need the item,Often,No,Heavily,Yes,5,Sometimes,4,1,Customer service ,better app interface and lower shipping charges,409257
2023/06/04 11:24:41 PM GMT+5:30,44,Others,Few times a month,Groceries and Gourmet Food,No,Few times a month,Filter,First page,5,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,No,Heavily,Sometimes,1,No,5,5,Product recommendations,Quality of product is very poor according to the big offers,612742
2023/06/09 2:39:16 PM GMT+5:30,56,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Yes,Rarely,Filter,Multiple pages,4,No,Never,Found a better price elsewhere,Never,Yes,Never,Yes,5,No,5,2,Customer service,Nil,814908
2023/06/08 5:27:22 PM GMT+5:30,25,Others,Less than once a month,Beauty and Personal Care;others,Sometimes,Rarely,others,First page,4,No,Sometimes,others,Rarely,Yes,Moderately,Sometimes,3,No,2,5,Wide product selection,Irrelevant product suggestions,325176
2023/06/11 10:57:34 PM GMT+5:30,27,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Few times a week,categories,First page,4,Maybe,Rarely,High shipping costs,Never,No,Never,Yes,3,Yes,2,1,User-friendly website/app interface,User interface ,611794
2023/06/09 9:33:35 AM GMT+5:30,18,Male,Once a week,Home and Kitchen;others,No,Multiple times a day,others,First page,1,Yes,Always,others,Always,No,Moderately,Yes,3,Sometimes,4,4,Product recommendations,Shipping speed and reliability,263909
2023/06/06 7:40:11 PM GMT+5:30,20,Others,Few times a month,Groceries and Gourmet Food;Home and Kitchen,No,Rarely,nan,First page,2,No,Rarely,Changed my mind or no longer need the item,Rarely,No,Never,Sometimes,2,Yes,4,5,Wide product selection,User interface ,160825
2023/06/12 2:44:47 PM GMT+5:30,48,Prefer not to say,Few times a month,others,No,Multiple times a day,others,Multiple pages,1,Maybe,Rarely,High shipping costs,Rarely,Yes,Never,Sometimes,1,Yes,4,4,.,UI,936306
2023/06/07 11:46:52 AM GMT+5:30,41,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,nan,Multiple pages,2,Maybe,Sometimes,High shipping costs,Never,Yes,Rarely,Yes,3,Yes,3,1,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues ,784748
2023/06/12 4:02:02 PM GMT+5:30,22,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Sometimes,Multiple times a day,Filter,First page,2,Maybe,Rarely,High shipping costs,Often,No,Heavily,Sometimes,5,Yes,4,4,User-friendly website/app interface,I don't have any problem with Amazon,673309
2023/06/08 5:37:13 PM GMT+5:30,27,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Rarely,Keyword,Multiple pages,3,Maybe,Never,Found a better price elsewhere,Sometimes,No,Occasionally,No,2,No,5,5,User-friendly website/app interface,I don't have any problem with Amazon,436584
2023/06/08 5:37:13 PM GMT+5:30,39,Female,Less than once a month,Clothing and Fashion;Home and Kitchen;others,No,Rarely,Keyword,Multiple pages,3,Yes,Always,Found a better price elsewhere,Often,Yes,Heavily,No,1,No,5,2,Wide product selection,Irrelevant product suggestions,899597
2023/06/07 8:41:53 PM GMT+5:30,48,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,4,Yes,Never,Changed my mind or no longer need the item,Often,No,Moderately,Yes,1,Sometimes,5,1,All the above,User interface ,233387
2023/06/11 10:44:01 PM GMT+5:30,9,Female,Multiple times a week,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,categories,First page,5,No,Sometimes,others,Never,Yes,Rarely,Yes,1,Yes,2,2,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,140114
2023/06/05 12:39:14 AM GMT+5:30,49,Others,Less than once a month,Clothing and Fashion,Yes,Few times a month,categories,Multiple pages,3,No,Rarely,High shipping costs,Rarely,Yes,Moderately,No,2,No,1,3,All the above,Customer service responsiveness,512589
2023/06/08 5:57:34 PM GMT+5:30,62,Male,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Multiple times a day,Filter,Multiple pages,2,Maybe,Rarely,others,Sometimes,Yes,Occasionally,No,2,No,5,5,All the above,Add more familiar brands to the list,699199
2023/06/09 2:40:21 PM GMT+5:30,66,Prefer not to say,Once a month,Groceries and Gourmet Food;Home and Kitchen,No,Few times a month,categories,First page,5,Maybe,Never,others,Often,No,Never,Sometimes,3,Sometimes,3,1,Wide product selection,Shipping speed and reliability,429420
2023/06/08 5:57:03 PM GMT+5:30,42,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Filter,First page,1,No,Sometimes,others,Never,No,Moderately,Yes,4,No,2,1,Customer service ,Scrolling option would be much better than going to next page,545710
2023/06/09 9:32:44 AM GMT+5:30,63,Others,Once a week,Groceries and Gourmet Food,Yes,Few times a week,Filter,Multiple pages,5,No,Always,High shipping costs,Sometimes,No,Rarely,Sometimes,1,No,3,1,Product recommendations,User interface of app,619931
2023/06/04 1:28:19 PM GMT+5:30,5,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,Filter,Multiple pages,5,Yes,Rarely,High shipping costs,Never,No,Occasionally,No,3,Yes,5,5,Product recommendations,No problems with Amazon,747990
2023/06/12 4:02:02 PM GMT+5:30,4,Female,Once a month,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Rarely,categories,Multiple pages,3,No,Often,High shipping costs,Always,No,Never,Yes,3,No,2,4,Quick delivery,Quality of product is very poor according to the big offers,463401
2023/06/06 6:45:07 PM GMT+5:30,66,Female,Less than once a month,Home and Kitchen;others,Yes,Multiple times a day,nan,Multiple pages,5,Yes,Often,Changed my mind or no longer need the item,Never,No,Never,No,4,Sometimes,3,5,Wide product selection,Add more familiar brands to the list,702775
2023/06/05 2:17:45 PM GMT+5:30,67,Others,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,others,First page,5,Maybe,Rarely,others,Rarely,Yes,Heavily,Yes,5,Yes,1,3,User-friendly website/app interface,I don't have any problem with Amazon,481900
2023/06/11 11:16:18 PM GMT+5:30,3,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,No,Multiple times a day,categories,First page,3,Maybe,Never,Changed my mind or no longer need the item,Often,No,Rarely,Yes,5,Sometimes,2,4,Customer service,Nil,911023
2023/06/09 3:25:33 PM GMT+5:30,15,Prefer not to say,Few times a month,Groceries and Gourmet Food;Home and Kitchen,No,Few times a month,nan,Multiple pages,5,No,Sometimes,others,Sometimes,No,Occasionally,No,3,Sometimes,1,2,Quick delivery,Nothing,195837
2023/06/06 6:45:07 PM GMT+5:30,46,Prefer not to say,Multiple times a week,Clothing and Fashion;others,Yes,Multiple times a day,categories,Multiple pages,1,No,Sometimes,others,Rarely,Yes,Occasionally,Sometimes,5,Sometimes,5,4,Product recommendations,UI,744396
2023/06/11 10:50:44 PM GMT+5:30,57,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Keyword,First page,3,No,Always,Found a better price elsewhere,Rarely,Yes,Heavily,No,4,No,3,5,Customer service,Scrolling option would be much better than going to next page,854704
2023/06/07 10:59:06 PM GMT+5:30,19,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,others,First page,5,Yes,Always,Found a better price elsewhere,Rarely,No,Heavily,No,1,No,4,1,Competitive prices,I don't have any problem with Amazon,342065
2023/06/06 6:37:19 PM GMT+5:30,17,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,others,First page,2,Maybe,Sometimes,High shipping costs,Never,No,Rarely,Yes,4,No,4,3,Wide product selection,UI,598722
2023/06/11 11:16:58 PM GMT+5:30,63,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Multiple times a day,categories,First page,5,No,Sometimes,High shipping costs,Never,No,Heavily,Yes,3,No,3,1,Wide product selection,Customer service responsiveness,669219
2023/06/05 8:46:09 PM GMT+5:30,37,Prefer not to say,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,Keyword,Multiple pages,2,Maybe,Often,High shipping costs,Never,No,Heavily,No,4,Sometimes,3,3,Wide product selection,Irrelevant product suggestions,272872
2023/06/06 7:18:52 PM GMT+5:30,46,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Multiple times a day,others,Multiple pages,3,No,Rarely,Changed my mind or no longer need the item,Often,No,Occasionally,No,3,No,1,1,User-friendly website/app interface,User interface ,584509
2023/06/08 7:46:31 PM GMT+5:30,8,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Filter,First page,2,No,Often,others,Always,Yes,Heavily,Sometimes,2,No,4,2,Product recommendations,Scrolling option would be much better than going to next page,627559
2023/06/11 11:06:16 PM GMT+5:30,11,Prefer not to say,Once a month,Beauty and Personal Care,Sometimes,Multiple times a day,nan,First page,3,Maybe,Never,High shipping costs,Sometimes,Yes,Heavily,No,2,Sometimes,1,5,All the above,Quality of product is very poor according to the big offers,165236
2023/06/06 7:40:11 PM GMT+5:30,62,Others,Once a week,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Multiple times a day,categories,Multiple pages,2,No,Rarely,others,Never,No,Rarely,No,1,Yes,4,5,.,User interface of app,579704
2023/06/06 7:19:43 PM GMT+5:30,65,Prefer not to say,Few times a month,Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,4,Maybe,Never,High shipping costs,Rarely,No,Rarely,Yes,2,Yes,3,4,Customer service,Nothing,760313
2023/06/05 1:27:08 PM GMT+5:30,30,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a month,categories,First page,2,No,Never,Found a better price elsewhere,Always,No,Never,Sometimes,1,Yes,2,3,Competitive prices,Add more familiar brands to the list,135840
2023/06/07 9:25:35 AM GMT+5:30,59,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Yes,Multiple times a day,nan,First page,3,Maybe,Never,others,Rarely,No,Rarely,Sometimes,1,Yes,1,3,User-friendly website/app interface,Add more familiar brands to the list,390612
2023/06/09 4:32:00 PM GMT+5:30,10,Prefer not to say,Multiple times a week,Beauty and Personal Care;Home and Kitchen,Yes,Multiple times a day,nan,Multiple pages,3,Yes,Often,Found a better price elsewhere,Always,No,Never,Yes,2,Sometimes,4,2,Competitive prices,No problems with Amazon,204967
2023/06/11 9:15:38 PM GMT+5:30,23,Others,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion,No,Multiple times a day,Keyword,First page,4,Yes,Often,Changed my mind or no longer need the item,Always,No,Never,Sometimes,2,Yes,5,5,Competitive prices,Nothing,237613
2023/06/05 2:17:45 PM GMT+5:30,9,Female,Multiple times a week,Home and Kitchen,Yes,Rarely,others,First page,5,No,Often,others,Rarely,No,Moderately,Sometimes,5,Sometimes,4,2,All the above,I don't have any problem with Amazon,199570
2023/06/07 10:10:58 PM GMT+5:30,64,Prefer not to say,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Multiple times a day,Filter,First page,5,Maybe,Sometimes,High shipping costs,Sometimes,No,Rarely,No,1,Sometimes,5,5,User-friendly website/app interface,Scrolling option would be much better than going to next page,528795
2023/06/10 11:21:59 PM GMT+5:30,29,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,others,Multiple pages,1,No,Sometimes,High shipping costs,Always,Yes,Rarely,Sometimes,3,Yes,5,1,All the above,I don't have any problem with Amazon,247726
2023/06/07 9:19:32 PM GMT+5:30,36,Others,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,others,First page,1,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,Moderately,Yes,3,No,4,1,Product recommendations,Product quality and accuracy,579950
2023/06/08 5:57:34 PM GMT+5:30,62,Others,Once a month,Clothing and Fashion,Sometimes,Rarely,nan,First page,3,No,Often,High shipping costs,Rarely,Yes,Occasionally,Yes,4,Yes,5,4,Competitive prices,Shipping speed and reliability,564086
2023/06/06 10:19:05 AM GMT+5:30,66,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,4,No,Often,Changed my mind or no longer need the item,Often,Yes,Never,Yes,4,Yes,3,5,Quick delivery,UI,868515
2023/06/07 7:17:13 PM GMT+5:30,47,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Rarely,others,First page,2,No,Rarely,Found a better price elsewhere,Rarely,Yes,Heavily,Yes,1,No,2,2,User-friendly website/app interface,I don't have any problem with Amazon,281036
2023/06/06 7:46:27 PM GMT+5:30,56,Prefer not to say,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Rarely,nan,Multiple pages,5,Yes,Rarely,others,Always,No,Rarely,Sometimes,5,Sometimes,3,2,Customer service,UI,617273
2023/06/09 3:25:33 PM GMT+5:30,4,Prefer not to say,Few times a month,Home and Kitchen,No,Few times a week,nan,First page,1,Yes,Often,Changed my mind or no longer need the item,Rarely,No,Moderately,Sometimes,5,Yes,3,5,.,Add more familiar brands to the list,259062
2023/06/12 3:29:20 PM GMT+5:30,44,Male,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,nan,Multiple pages,5,No,Often,Changed my mind or no longer need the item,Rarely,Yes,Rarely,Yes,1,Yes,4,3,.,better app interface and lower shipping charges,607641
2023/06/05 12:57:05 AM GMT+5:30,13,Others,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,2,Maybe,Rarely,Found a better price elsewhere,Sometimes,Yes,Never,No,3,Sometimes,4,5,Quick delivery,Reducing packaging waste,139333
2023/06/04 11:24:41 PM GMT+5:30,5,Prefer not to say,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,Keyword,First page,5,Maybe,Often,High shipping costs,Never,No,Never,Yes,2,No,5,2,User-friendly website/app interface,Scrolling option would be much better than going to next page,367564
2023/06/06 9:08:20 PM GMT+5:30,28,Female,Few times a month,Clothing and Fashion,Sometimes,Rarely,others,Multiple pages,1,Maybe,Often,others,Often,No,Occasionally,Sometimes,5,Sometimes,1,3,Customer service ,Shipping speed and reliability,517033
2023/06/08 5:30:12 PM GMT+5:30,12,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Rarely,Filter,First page,2,No,Often,Found a better price elsewhere,Always,Yes,Rarely,Yes,4,Sometimes,3,4,All the above,User interface of app,289880
2023/06/07 2:09:49 PM GMT+5:30,39,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,categories,First page,3,Maybe,Often,others,Rarely,No,Heavily,No,2,No,5,5,Customer service ,Shipping speed and reliability,330199
2023/06/08 3:25:32 AM GMT+5:30,63,Prefer not to say,Once a week,others,No,Multiple times a day,nan,First page,2,No,Often,Changed my mind or no longer need the item,Sometimes,No,Rarely,Yes,1,Yes,3,4,.,No problems with Amazon,129379
2023/06/05 1:28:44 PM GMT+5:30,41,Female,Few times a month,Home and Kitchen,Sometimes,Few times a month,others,First page,1,No,Sometimes,others,Always,Yes,Moderately,Yes,3,No,3,2,Product recommendations,User interface ,744959
